timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2013-12-31T00:00:00.000Z";"2013-12-31T23:59:59.999Z";"2013-12-31T00:56:02.000Z";"2013-12-31T04:26:02.000Z";"2781";760.3200073242;760.5800170898;738.1699829102;754.0100097656;20897300;9191325349.25;12189925;"2013-12-31T23:59:59.999Z"
"2013-12-30T00:00:00.000Z";"2013-12-30T23:59:59.999Z";"2013-12-30T20:46:02.000Z";"2013-12-30T00:51:01.000Z";"2781";741.3499755859;766.5999755859;740.2399902344;756.1300048828;20707700;9217167990.25;12189925;"2013-12-30T23:59:59.999Z"
"2013-12-29T00:00:00.000Z";"2013-12-29T23:59:59.999Z";"2013-12-29T21:46:02.000Z";"2013-12-29T04:41:01.000Z";"2781";728.049987793;748.6099853516;714.4400024414;745.049987793;19011300;9082103621.25;12189925;"2013-12-29T23:59:59.999Z"
"2013-12-28T00:00:00.000Z";"2013-12-28T23:59:59.999Z";"2013-12-28T12:06:01.000Z";"2013-12-28T18:11:01.000Z";"2781";737.9799804688;747.0599975586;705.3499755859;727.8300170898;32505800;8869918644;12186800;"2013-12-28T23:59:59.999Z"
"2013-12-27T00:00:00.000Z";"2013-12-27T23:59:59.999Z";"2013-12-27T00:51:02.000Z";"2013-12-27T19:11:01.000Z";"2781";763.2800292969;777.5100097656;713.5999755859;735.0700073242;46862700;8955394563.5;12183050;"2013-12-27T23:59:59.999Z"
"2013-12-26T00:00:00.000Z";"2013-12-26T23:59:59.999Z";"2013-12-26T19:41:01.000Z";"2013-12-26T00:01:02.000Z";"2781";683.9400024414;777.75;683.9400024414;761.9799804688;0;9279735331;12178450;"2013-12-26T23:59:59.999Z"
"2013-12-25T00:00:00.000Z";"2013-12-25T23:59:59.999Z";"2013-12-25T23:46:01.000Z";"2013-12-25T07:01:02.000Z";"2781";666.3099975586;682.700012207;649.4799804688;682.2100219727;0;8305173374.25;12173925;"2013-12-25T23:59:59.999Z"
"2013-12-24T00:00:00.000Z";"2013-12-24T23:59:59.999Z";"2013-12-24T00:06:01.000Z";"2013-12-24T13:36:02.000Z";"2781";672.3599853516;684.3900146484;645.7100219727;665.5800170898;0;8100042042;12169900;"2013-12-24T23:59:59.999Z"
"2013-12-23T00:00:00.000Z";"2013-12-23T23:59:59.999Z";"2013-12-23T23:21:01.000Z";"2013-12-23T00:16:02.000Z";"2781";613.0599975586;680.9099731445;611.0399780273;673.4099731445;0;8192487201.75;12165675;"2013-12-23T23:59:59.999Z"
"2013-12-22T00:00:00.000Z";"2013-12-22T23:59:59.999Z";"2013-12-22T10:16:02.000Z";"2013-12-22T02:21:01.000Z";"2781";601.7800292969;666.7399902344;585.6400146484;617.1799926758;0;7505757422.5;12161375;"2013-12-22T23:59:59.999Z"
